Name,Ranking,Ideally
SR,1,Higher
Avg,2,Higher
Runs,3,Higher
Inn,4,Higher
NO,5,Higher
6s,6,Higher
4s,7,Higher
100s,8,Higher
50s,9,Higher
Mat,10,Higher
HS,11,Higher
BF,12,Higher
